UNLOCODE	Countrycode	Town	Long	Lat	top500_id	meril_id	Source
	FR	Le Chesnay	2.1320	48.8279		14983	osm
	FR	Modane	6.6728	45.2015		15820;14437	osm
	FR	Nantes	-1.5541	47.2186		15472;15187	osm
	FR	Odeillo - Font Romeu	2.0417	42.4966		15377	osm
	FR	Orléans	1.9086	47.9027		14527	osm
	FR	Ramonville Saint-Agne	1.4749	43.5461		15843	osm
	FR	Saint Cyr l'Ecole	2.0672	48.7997		15535	osm
	FR	Saint-Etienne-en-Dévoluy	5.9413	44.6920		15739	osm
	FR	Strasbourg	7.7507	48.5846		15470;15490	osm
	FR	Tarbes	0.0781	43.2329		15434	osm
	FR	Villeurbanne	4.8869	45.7733		15869	osm
	FR	Villeurbanne (Lyon)	4.8714	45.7718		15850;15866	googlemaps
FR 	FR				50748		top500
FR 4SM	FR	Saint-Michel-l'Observatoire	5.7167	43.9000		14532	unlocode
FR ANE	FR	Angers	-0.5504	47.4710	50630		googlemaps
FR BHT	FR	Bruyeres-le-Chatel	2.2000	48.6000	47593;50414;50207		unlocode
FR CIL	FR	Chatillon	2.3000	48.8000	48549		unlocode
FR GFY	FR	Gif-sur-Yvette	2.1333	48.7000		15857;15865	unlocode
FR MPL	FR	Montpellier	3.8833	43.6167	47533;50203	14678	unlocode
FR ORS	FR	Orsay	2.1892	48.6962	50403	15862;15567	unlocode
FR PAL	FR	Palaiseau	2.2333	48.7167		15557;15031	unlocode
FR PAR	FR	Paris	2.3500	48.8500	49894	15863;15061;15600;14653;15226;15454;15464;14590	unlocode
FR PLZ	FR	Plouzané	-4.6167	48.3833		15468;15561	unlocode
FR PUF	FR	Pau	-0.3743	43.2950	49546		googlemaps
FR SHB	FR	Saint-Herblain	-1.6500	47.2167		15350	unlocode
FR TLS	FR	Toulouse	1.4500	43.6000	48356	15502	unlocode
FR VIJ	FR	Villejuif	2.3667	48.8000		15851;15448	unlocode
FR VLU	FR	Val de reuil	1.1860	49.2549	50679		unlocode
	GB	Abingdon	-1.2780	51.6715		15867;15361	osm
	GB	Buxton	-1.9101	53.2594		14489	osm
	GB	Colchester	0.9046	51.8931		15348;15875	osm
	GB	Cranfield	-0.6079	52.0690		14663	osm
	GB	Didcot	-1.2468	51.6057		15558;14470;15575	osm
	GB	Hinxton	0.1793	52.0849		14619	osm
	GB	London	-0.1276	51.5073		15336;15200;15332;14481;14752	osm
	GB	Macclesfield	-2.1255	53.2607		15568	osm
	GB	Newport	-2.9975	51.5882		15441	osm
	GB	Norwich	1.2923	52.6286		15518	osm
	GB	St Andrews	-2.7956	56.3404		14441	osm
	GB	Stromness	-3.2994	58.9614		14924	osm
	GB	Wallingford	-1.1252	51.5982		15430	osm
	GB	York	-1.0815	53.9591		15079	osm
GB 	GB				50728		top500
GB ALR	GB	Aldermaston	-1.1500	51.3667	47363		unlocode
GB ARR	GB	Warrington	-2.5968	53.3894	47670		googlemaps
GB AYW	GB	Aberystwyth	-4.0833	52.4167		15069	unlocode
GB BHM	GB	Birmingham	-1.9167	52.4667		15411	unlocode
GB BRK	GB	Birkenhead	-3.0333	53.4000		15062	unlocode
GB BXO	GB	Boxford	1.4333	52.0167		15829	unlocode
GB CMG	GB	Cambridge	0.1217	52.2049	49143	14429;14969;15203	googlemaps
GB EDI	GB	Edinburgh	-3.2000	55.9500	50487;49151	15045	unlocode
GB EXE	GB	Exeter	-3.5333	50.7000	49064		unlocode
GB GLW	GB	Glasgow	-4.2500	55.8333		15879	unlocode
GB MNC	GB	Manchester	-2.2167	53.5000		15044	unlocode
GB PBI	GB	Pirbright	-0.6333	51.2833		15493	unlocode
GB PLY	GB	Plymouth	-4.1167	50.4000		15228	unlocode
GB RDN	GB	Reading	-0.9667	51.4500	47752		unlocode
GB SOU	GB	Southampton	-1.4009	50.9014	49200		googlemaps
